id	title	description	price	photo	category
1012	Gigabyte B365M D3H	Gigabyte	2 280,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/mab/mab1012.jpg	Материнская плата
2001	Intel Celeron G1620 Box	Intel	1 000,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/pr/pr2001.jpg	Процессор
2002	AMD A6-9500	AMD	1 100,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/pr/pr2002.jpg	Процессор
2003	AMD Athlon 200GE	AMD	1 200,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/pr/pr2003.jpg	Процессор
2004	AMD Ryzen 3 1200	AMD	1 800,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/pr/pr2004.jpg	Процессор
2005	Intel Core i3-9100F	Intel	2 200,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/pr/pr2005.jpg	Процессор
2006	Intel Core i3-7100 3.9GHz s1151	Intel	2 700,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/pr/pr2006.jpg	Процессор
2007	AMD Ryzen 3 3200G, Box	AMD	2 750,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/pr/pr2007.jpg	Процессор
2008	Intel Core i3 8100	Intel	3 200,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/pr/pr2008.jpg	Процессор
2009	AMD Ryzen 5 2600	AMD	3 550,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/pr/pr2009.jpg	Процессор
2010	AMD Ryzen 5 3400G, Box	AMD	4 050,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/pr/pr2010.jpg	Процессор
2011	Intel Core i3 8350K	Intel	4 800,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/pr/pr2011.jpg	Процессор
4001	Micron DDR2 800Mhz 2Gb	Micron	272,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/ram/ram4001.jpg	Оперативная память
4002	Kingston ValueRAM DDR3 1600MHz 2GB	Kingston	330,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/ram/ram4002.jpg	Оперативная память
4003	Apacer DDR3L 1600Mhz 4Gb	Apacer	500,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/ram/ram4003.jpg	Оперативная память
4004	Kingston DDR4 2666Mhz 4Gb ValueRAM	Kingston	570,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/ram/ram4004.jpg	Оперативная память
4005	Kingston ValueRAM DDR4 2666MHz 4GB	Kingston	680,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/ram/ram4005.jpg	Оперативная память
4006	Kingston DDR3 1600Mhz 8Gb	Kingston	890,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/ram/ram4006.jpg	Оперативная память
4007	Patriot DDR3 1600Mhz 4Gb	Patriot	920,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/ram/ram4007.jpg	Оперативная память
4008	Patriot DDR4 2666Mhz 8Gb Viper Elite Grey	Patriot	930,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/ram/ram4008.jpg	Оперативная память
4009	Team DDR4 2666Mhz 8Gb Vulcan Z Grey	Team	1 000,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/ram/ram4009.jpg	Оперативная память
4010	Kingston ValueRAM DDR3 1600MHz 8GB	Kingston	1 100,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/ram/ram4010.jpg	Оперативная память
4011	Kingston ValueRAM DDR4 2400MHz 16GB	Kingston	1 890,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/ram/ram4011.jpg	Оперативная память
4012	Team DDR4 2666Mhz 16Gb Vulcan Z Grey	Team	1 900,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/ram/ram4012.jpg	Оперативная память
